Cost Code_Task ID,Name
02-2766,STRIPING
02-2770,CURBS
02-2831,FENCING
03-0000,CONCRETE
03-3100,BUY CONCRETE MATERIALS
03-3101,SITEWORK - CONCRETE FORMING AND ACCESSORIES
03-3102,RETAIN W - CONCRETE FORMING AND ACCESSORIES
03-3103,EXTERIOR - CAST-IN-PLACE CONCRETE
03-3104,OCS - DRILLED CONCRETE PIERS & SHAFT
03-3105,CONCRETE FOUNDATION FOOTINGS
03-3106,CONCRETE FOOTINGS FOR SUPPORT WALLS
03-3107,CONCRETE SUPPORT WALLS
03-3108,S&C TRACKS - CAST-IN-PLACE CONCRETE
03-3109,TRAILERS - CAST-IN-PLACE CONCRETE
03-3110,SIGNAL - CONCRETE FORMING AND ACCESSORIES
03-3111,TUNNEL - CAST-IN-PLACE CONCRETE
03-3112,WM CBF - CAST-IN-PLACE CONCRETE
03-3113,PK LOT - RETAINING WALL FORMS
03-3114,PK LOT - RETAINING WALL REBAR
03-3115,PK LOT - RETAINING WALL POUR
03-3116,PK LOT - RETAINING WALL MISC
03-3117,PRECAST PLATFORM INSTALLATION
03-3118,INSTALL RUBBING BOARD
03-3119,INSTALL WARNING TILE (TACTILE)
03-3201,MCCB - FORMWORK FOR WALLS - WOOD & ACCESSORIES
03-3202,MCCB - FORMWORK WALLS - DOCK PITS
03-3203,MCCB - FORMWORK - ISOLATED FOOTINGS
03-3204,MCCB - FORMWORK - WALL FOOTINGS
03-3205,MCCB - FORMWORK FOR SLAB ON GRADE
03-3206,MCCB - FORMWORK - PIERS
03-3207,MCCB - FORM FOOTINGS - DOCK PITS
03-3208,MCCB - FORMWORK SLAB - DOCK PITS
03-3209,MCCB - POUR ISOLATED FOOTINGS
03-3210,MCCB - STRIP FORMWORK - ISOLATED FOOTINGS
03-3211,MCCB - INSTALL ANCHOR BOLTS
03-3212,MCCB - POUR WALL FOOTINGS
03-3213,MCCB - STRIP FORMWORK - WALL FOOTINGS
03-3214,MCCB - INSTALL WATERSTOPS - WALLS
03-3215,MCCB - POUR MUD SLAB CONCRETE
03-3216,MCCB - POUR SLAB CONCRETE
03-3217,MCCB - SLAB ON GRADE - TROWEL & FINISH SLAB
03-3218,MCCB - SAWCUT CONTROL JOINTS
03-3219,"MCCB - SLAB ON GRADE - F&I 1/2"" X 6"" EXPANSION JOINTS"
03-3220,MCCB - STRIP FORMWORK - SLAB ON GRADE
03-3221,"MCCB - F&I PERIMTER 2"" RIGID INSULATION (2' DOWN GB/FTG & 2' OUT UNDER SLAB)"
03-3222,MCCB - POUR WALL CONCRETE
03-3223,MCCB - INSTALL WATERSTOPS - SLAB ON GRADE
03-3224,MCCB - STRIP FORMWORK - WALLS
03-3225,MCCB - POUR PIER CONCRETE
03-3226,MCCB - STRIP FORMWORK - PIERS
03-3227,MCCB - POUR CONCRETE
03-3228,MCCB - STRIP FORMWORK
03-3229,MCCB - INSTALL WATERSTOPS - DOCK PITS
03-3230,MCCB - SLAB ON GRADE - TROWEL & FINISH
03-3231,MCCB - CONCRETE SLAB SEALER
03-3232,MCCB - REBAR
03-3233,MCCB - WWM - WELDED WIRE MESH
03-3234,MCCB - WINTER CONCRETE
03-3235,MCCB - CONCRETE SLAB SEALER OLD
03-3301,M&I - WINTER PROTECTION
03-3302,M&I - FORMWORK - PILE CAPS ISOLATED FOOTINGS
03-3303,M&I - FORMWORK FOR PIT WALLS
03-3304,M&I - FORMWORK FOR SLAB ON GRADE
03-3305,M&I - FORMWORK - GRADE BEAMS AND WALL FOOTINGS
03-3306,M&I - FORMWORK FOR WALLS - WOOD & ACCESSORIES
03-3307,M&I - FORMWORK FOR TROUGH
03-3308,M&I - FORMWORK - PIERS
03-3309,M&I - FORMWORK FOR PIT SLAB
03-3310,M&I - POUR PILE CAPS
03-3311,M&I - STRIP FORMWORK - PILE CAPS ISOLATED FOOTINGS
03-3312,M&I - INSTALL ANCHOR BOLTS
03-3313,M&I - POUR WALL FOOTINGS
03-3314,M&I - STRIP FORMWORK - GRADE BEAMS AND WALL FOOTINGS
03-3315,M&I - POUR PIT SLAB CONCRETE
03-3316,M&I - POUR WALL CONCRETE
03-3317,M&I - INSTALL WATERSTOPS PIT SLAB
03-3318,M&I - STRIP FORMWORK - PIT WALLS
03-3319,M&I - INSTALL WATERSTOPS PIT WALLS
03-3320,M&I - POUR MUD SLAB CONCRETE
03-3321,M&I - POUR MAT SLAB CONCRETE
03-3322,M&I - SAWCUT CONTROL JOINTS
03-3323,M&I - SLAB ON GRADE - TROWEL & FINISH SLAB
03-3324,"M&I - SLAB ON GRADE - F&I 1/2"" X 6"" EXPANSION JOINTS"
03-3325,M&I - STRIP FORMWORK
03-3326,"M&I - F&I 2"" RIGID INSULATION"
03-3327,M&I - SLABS ON METAL DK - TROW/FINISH SLAB
03-3328,M&I - INSTALL WATERSTOPS
03-3329,M&I - STRIP FORMWORK - WOOD & ACCESSORIES
03-3330,M&I - POUR PIER CONCRETE
03-3331,M&I - STRIP FORMWORK - PIERS
03-3332,M&I - REBAR
03-3333,M&I - WWM FDN - WELDED WIRE MESH FOUNDATION
03-3334,M&I - REBAR SS - REBAR STRUCTURAL SLAB
03-3335,M&I - WWM SS - WELDED WIRE MESH STRUCTURAL SLAB
03-3336,M&I - WINTER CONCRETE
03-3337,M&I - MASS CONCRETE ADDITIVES AT FOOTINGS (4' OR GREATER)
03-3338,M&I - CONCRETE SLAB SEALER
03-3339,M&I - SLABS ON METAL DECKS
04-0000,MASONRY
04-4220,MASONRY SUB
05-0000,METALS
05-5100,STRUCTURAL STEEL
05-5500,MISC. METALS
06-0000,WOOD AND PLASTICS
06-6100,ROUGH CARPENTRY - READY TRACK
06-6101,ROUGH CARPENTRY - M&I
06-6102,ROUGH CARPENTRY - RELOCATIONS
06-6103,ROUGH CARPENTRY - TUNNEL ENTRANCE
06-6104,ROUGH CARPENTRY - COMMISSARY
06-6105,ROUGH CARPENTRY - SITEWORK
06-6200,FINISH CARPENTRY
06-7413,FIBERGLASS GRATINGS
07-0000,THERMAL/MOISTURE PROT
07-7100,SPRAY FIREPROOFING
07-7140,WATERPROOFING
07-7270,FIRESTOPPING
07-7410,METAL WALL PANELS
07-7550,ROOFING
07-7900,CAULKING
07-9513,EXPANSION JOINTS
08-0000,DOORS AND WINDOWS
08-8110,DOORS
08-8300,ACCESS DOORS
08-8305,TRAIN FOLDING DOORS
08-8330,ROLL-UP DOORS
08-8800,GLAZING
08-8900,WALL VENTS
08-9100,LOUVERS
09-0000,FINISHES
09-6813,TILE CARPETING
09-9250,GYPSUM BOARD
09-9300,TILE
09-9510,CEILINGS
09-9650,FLOORING
09-9670,FLOOR SEALER
09-9720,WALL COVERINGS
09-9900,PAINTING
10-0000,SPECIALTIES
10-1300,EGRESS PATH MARKINGS
10-2600,CORNERGUARDS
10-4000,SIGNAGE
10-5000,LOCKERS
10-5200,CABINETS / FIRE EXTINGUISHERS
10-6750,STORAGE ASSEMBLINES
10-8100,TOILET ACCESSORIES
11-0000,EQUIPMENT
11-1300,LOADING DOCK EQUIPMENT
11-3013,APPLIANCES
11-4123,WALK-IN COOLERS
11-5213,PROJECT SCREENS
11-8612,COMPRESSED AIR SYSTEMS
11-8643,FUEL SYSTEMS
12-0000,FURNISHINGS
12-3600,COUNTERTOPS
12-4850,FLOOR MATS
12-5000,WINDOW SHADES
13-0000,SPECIAL CONSTRUCTION
13-3400,EXTERIOR PRE-FAB SHEDS
13-3405,MODULAR UNITS
14-0000,CONVEYING SYSTEMS
14-2000,ELEVATORS
15-0000,MECHANICAL
15-3000,SPRINKLER
15-4000,PLUMBING
15-4010,TOILET DUMP SYSTEM
15-4020,SANDING SYSTEM - RYSX
15-5000,HVAC
16-0000,ELECTRICAL
16-0010,ELECTRICAL - VERDE
16-0020,ELECTRICAL - COMSTOCK
16-0030,ELECTRICAL - TBD/HELLMAN
16-0040,ELECT - UNDERGRD DUCTS/RACEWAYS - TRAILERS
16-0050,COMM WORK
16-0060,ELECT - NETWORK COMM SYSTEMS - TRAILERS
19-0000,CHANGE ORDERS
